Date,Currency,Category,Country,Amount
2021-01-04 13:13:08+00:00,USD,You have a payment,,335.62
2021-01-04 13:16:50+00:00,GBP,You have a payment,,194.66
2021-01-05 07:32:59+00:00,EUR,,,15.5
2021-02-06 10:34:24+00:00,EUR,,,15.5
2021-03-05 11:22:10+00:00,EUR,,,15.5
2021-03-24 12:36:23+00:00,CHF,,,99.0
2021-03-24 12:36:23+00:00,GBP,,,81.34
2021-04-23 04:58:00+00:00,CHF,,,17.23
2021-04-26 07:39:42+00:00,CHF,,,11.2
2021-05-06 13:13:31+00:00,EUR,,,17.07
2021-05-06 13:14:04+00:00,EUR,,,17.07
2021-05-06 13:15:22+00:00,EUR,,,15.5
2021-05-27 13:50:09+00:00,RUB,,,13550.85
2021-05-27 13:50:09+00:00,USD,,,198.45
2021-05-27 13:50:09+00:00,RUB,,,13940.15
2021-05-30 07:31:27+00:00,USD,,,130.0
2021-05-30 07:35:52+00:00,EUR,,,117.82
2021-05-30 07:35:52+00:00,GBP,,,109.53
2021-05-30 07:35:52+00:00,EUR,,,122.18
2021-06-05 14:31:37+00:00,EUR,,,15.5
2021-06-05 14:31:37+00:00,CHF,,,17.7
2021-07-05 14:43:46+00:00,EUR,,,15.5
2021-08-05 06:56:45+00:00,EUR,,,15.5
2021-08-19 20:23:22+00:00,USD,,,57.13
2021-08-19 20:23:22+00:00,USD,Bootstrap Studio - Lifetime,,59.0
2021-09-06 11:06:32+00:00,EUR,,,15.5
2021-10-07 09:03:17+00:00,EUR,,,15.5
2021-10-18 07:08:38+00:00,EUR,,,10.97
2021-11-06 09:43:44+00:00,EUR,,,15.5
2021-11-21 17:06:05+00:00,EUR,,,95.85
2021-11-21 17:06:05+00:00,EUR,1xPyCharm,,95.85
2021-12-05 13:38:51+00:00,EUR,,,15.5
2022-01-05 17:53:38+00:00,EUR,,,15.5
2022-01-28 19:35:39+00:00,EUR,Surfshark 27 month,,57.78
2022-01-28 19:35:39+00:00,EUR,,,57.78
2022-01-30 08:22:02+00:00,EUR,,,57.78
2022-02-08 21:11:40+00:00,EUR,,,15.5
2022-02-24 08:44:50+00:00,CHF,,,489.27
2022-02-24 08:44:50+00:00,CHF,RazomforUkrain,,500.0
2022-03-01 08:34:17+00:00,CHF,,,500.0
2022-03-01 08:34:17+00:00,CHF,UkrainianAmeri,,500.0
2022-03-06 11:05:35+00:00,EUR,,,15.5
2022-03-08 05:59:58+00:00,CHF,,,200.0
2022-03-08 05:59:58+00:00,CHF,UkrainianAmeri,,200.0
2022-03-14 05:55:58+00:00,CHF,,,50.0
2022-03-14 05:55:58+00:00,CHF,RazomforUkrain,,50.0
2022-03-23 19:43:26+00:00,CHF,FundacjaOcalen,,50.0
2022-03-23 19:43:26+00:00,CHF,,,50.0
2022-03-24 13:28:21+00:00,CHF,,,99.0
2022-03-31 21:59:14+00:00,CHF,,,30.0
2022-04-05 07:52:37+00:00,EUR,,,15.5
2022-04-05 08:02:10+00:00,USD,,,12.63
2022-04-24 17:44:57+00:00,CHF,,,250.0
2022-04-24 17:44:57+00:00,CHF,NovaUkraine,,250.0
2022-04-28 14:26:45+00:00,CHF,,,335.0
2022-05-07 10:31:55+00:00,EUR,,,15.5
2022-05-07 16:49:50+00:00,EUR,,,18.29
2022-05-07 16:50:21+00:00,EUR,,,18.29
2022-06-07 13:10:46+00:00,EUR,,,15.5
2022-07-10 08:20:25+00:00,EUR,,,15.5
2022-08-05 16:41:09+00:00,EUR,,,17.02
2022-08-13 08:53:44+00:00,CHF,,,18.8
2022-08-21 08:32:50+00:00,EUR,1xPyCharm,,176.4
2022-08-21 08:32:50+00:00,EUR,,,176.4
2022-09-10 07:36:41+00:00,EUR,,,15.5
2022-10-05 12:56:19+00:00,EUR,,,15.349999999999998
2022-10-07 10:16:29+00:00,EUR,,,0.15
2022-10-07 10:16:29+00:00,EUR,,,15.5
2022-10-19 11:33:30+00:00,EUR,,,12.19
2022-11-09 11:18:51+00:00,EUR,,,15.5
2022-11-11 12:23:09+00:00,EUR,You have a payment,,82.04
2022-11-11 12:25:46+00:00,USD,You have a payment,,119.74
2022-11-11 12:27:24+00:00,GBP,You have a payment,,697.74
2022-11-11 19:41:39+00:00,EUR,,,77.2
